time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,1041.4102256751833,4340.598023100329,1592.3847797448127,3092.0563509761414,2363.0342512745497
2018,1071.1007094666825,4487.804704122078,1631.372303353243,3171.9672275274193,2389.349629312232
2019,1100.2034233772315,4632.337177960435,1669.5528757810368,3250.192687051922,2414.7659664621024
2020,1128.726991424599,4774.247026438558,1706.941290390333,3326.7491486378567,2439.2835587406016
2021,1156.6825114275996,4913.599407986414,1743.5564419839166,3401.6584682184944,2462.904267271504
2022,1184.1008629903731,5050.557199430811,1779.444846627003,3474.9948995526947,2485.650246450197
2023,1211.017722098813,5185.309022719989,1814.6606617551006,3546.8437352129013,2507.5470517347185
2024,1237.4685346706865,5318.045480306762,1849.2591485787068,3617.2871336926737,2528.6176817393502
2025,1263.4887466345904,5448.960924172084,1883.2972673018833,3686.404226087775,2548.8823224226912
2026,1289.107568444258,5578.2239505258585,1916.8255551796508,3754.25355435144,2568.3509734277877
2027,1314.328713914804,5705.8845082756225,1949.8622798711822,3820.8202154483342,2587.0020328089904
2028,1339.1496593046998,5831.967946146947,1982.4197891424753,3886.0677843418457,2604.802804859327
2029,1363.568163839501,5956.507506688083,2014.5137134823617,3949.9553755395727,2621.7159342324367
2030,1387.5823753524721,6079.545735170629,2046.1634957724239,4012.43721909872,2637.698821660011
2031,1411.198788800764,6201.174362463128,2077.4037177128134,4073.4833090460197,2652.711300666814
2032,1434.456206941841,6321.653347763903,2108.3177535353625,4133.142389899638,2666.739553459567
2033,1457.4027880156516,6441.30061817902,2139.0071530007694,4191.478630687994,2679.7702490403253
2034,1480.0883610384983,6560.455761513782,2169.5816520514027,4248.549939814783,2691.7814073343798
2035,1502.5645032188886,6679.481388423031,2200.159701022952,4304.40739401281,2702.7417108733503
2036,1524.876354369447,6798.722651292133,2230.8570481279135,4359.073572224864,2712.602188397082
2037,1547.0375735941602,6918.3797750021395,2261.7502587002537,4412.479137099128,2721.2736072031967
2038,1569.0543239394372,7038.623471811384,2292.908793171383,4464.52885442368,2728.6533454855767
2039,1590.9331930874118,7159.630396334452,2324.404458836004,4515.125503008674,2734.63634917567
2040,1612.6808684446207,7281.5761406270785,2356.3086398881314,4564.173292154776,2739.119029087491
2041,1634.2987081422611,7404.600396091709,2388.681297130725,4611.569822338719,2742.0000024774317
2042,1655.7670561828595,7528.7159698781725,2421.543336371215,4657.175198804786,2743.174665999095
2043,1677.0595724297486,7653.872978290163,2454.893729686271,4700.855250032891,2742.5549808443934
2044,1698.1477671512735,7779.975058612719,2488.71317284802,4742.498453684123,2740.078945122625
2045,1719.0006548342008,7906.872394532537,2522.961343594273,4782.019190515544,2735.714362861553
2046,1739.6049392286393,8034.470344485071,2557.608828903242,4819.404196838342,2729.472450964045
2047,1760.0271097292286,8163.079694476236,2592.742242421834,4854.842732706168,2721.437110951136
2048,1780.3540835976903,8293.105290135616,2628.473794538067,4888.583587095487,2711.718583359882
2049,1800.6733019542103,8424.94227196295,2664.911245121094,4920.88661848819,2700.437402101351
2050,1821.0730471728623,8558.982952060249,2702.160622432587,4952.019390575606,2687.720558881621
2051,1841.6292997168214,8695.546405891224,2740.305572190449,4982.226669765884,2673.6923889560812
2052,1862.365085232542,8834.645954722708,2779.337160262656,5011.647755391736,2658.457927061796
2053,1883.290299411335,8976.217720848388,2819.222973859255,5040.396851500219,2642.11860880643
2054,1904.41535992562,9120.20323118198,2859.9326358318417,5068.58724641229,2624.77432134375
2055,1925.7514280495457,9266.554252684664,2901.4397199771347,5096.328935386,2606.520701963312
2056,1947.3084405231732,9415.22358457254,2943.719234205911,5123.722993214342,2587.4467306399292
2057,1969.08871407918,9566.128482805243,2986.736581957619,5150.848563651128,2567.6321128173745
2058,1991.093068895194,9719.187016461898,3030.4587113433845,5177.77425348147,2547.1487475144713
2059,2013.322872055247,9874.330182158237,3074.857830861265,5204.561947367061,2526.06123540563
2060,2035.7799504615139,10031.501048798515,3119.911110321312,5231.26691086793,2504.427129153045
2061,2058.451790889863,10190.56593615632,3165.5733401024027,5257.910996345868,2482.294148761189
2062,2081.267107294541,10351.048078993646,3211.6949784732633,5284.401949132554,2459.691553436188
2063,2104.1393464527564,10512.385233957206,3258.101043904977,5310.61492447137,2436.641088854672
2064,2126.981305107984,10674.016320450228,3304.6176634044236,5336.419802745434,2413.160600064353
2065,2149.705130136204,10835.380981035618,3351.0718890652224,5361.681535552882,2389.2643838973086
2066,2172.236099841595,10996.001569308295,3397.3168576572766,5386.285660165554,2364.9663593118394
2067,2194.5542097502153,11155.731817643025,3443.308243114277,5410.2142951927435,2340.288628548418
2068,2216.6531636678415,11314.511149497457,3489.0286723264785,5433.471565185468,2315.2534149133376
2069,2238.5265700106434,11472.281425426545,3534.4620475972556,5456.0589367995135,2289.880787168242
2070,2260.167875025379,11628.985955288284,3579.593174564882,5477.9755610225875,2264.18911110796
2071,2281.582247136987,11784.640246813693,3624.4294762976056,5499.240240501966,2238.1977445235493
2072,2302.8225125252056,11939.547115238582,3669.067153231437,5519.956920849941,2211.934252502262
2073,2323.953513336369,12094.082718323978,3713.6253021193684,5540.25022031459,2185.4277339825535
2074,2345.0400777634686,12248.624071937631,3758.223564193206,5560.243881343676,2158.706776277915
2075,2366.146886048067,12403.547937968644,3802.98174286275,5580.060773612384,2131.7996673844846
2076,2387.315978512709,12559.095638459765,3847.97815530315,5599.782340643752,2104.7303056342535
2077,2408.499484908642,12714.96921847265,3893.1252828057877,5619.326919844187,2077.5055937953293
2078,2429.626536841761,12870.73263523159,3938.293231126199,5638.5711772591385,2050.1283487116966
2079,2450.6257093433724,13025.946286022687,3983.3511193039403,5657.3908601536405,2022.6016414201274
2080,2471.4251340781225,13180.167607496902,4028.1672426847053,5675.661072809984,1994.9288650405035
2081,2491.9686544134024,13333.047946321543,4072.6388726069144,5693.285595545393,1967.116827927728
2082,2512.264117582923,13484.622297334749,4116.781432022262,5710.284381926175,1939.1849067385335
2083,2532.335363097801,13635.021176152826,4160.63977267981,5726.706648866652,1911.1559563947783
2084,2552.2061932031243,13784.374386122703,4204.258523472346,5742.601898034932,1883.05328411998
2085,2571.9003775529086,13932.811009473897,4247.682060775838,5758.019967655727,1854.9006483034912
2086,2591.437650298142,14080.43536017253,4290.94707765084,5773.003820605997,1826.7214884671282
2087,2610.8216823812427,14227.254788137734,4334.060328996265,5787.567797668878,1798.5366297885641
2088,2630.0521040769186,14373.251819397936,4377.020811730351,5801.719408690441,1770.3665217961698
2089,2649.128529290583,14518.408308602124,4419.827171033571,5815.466635439334,1742.2319558078796
2090,2668.050570477331,14662.705537959177,4462.477700892344,5828.817970657099,1714.1540176270682
2091,2686.8163064041064,14806.11503723579,4504.967487609201,5841.779652127321,1686.1537420449902
2092,2705.4175869985556,14948.570427330924,4547.279710927354,5854.3471671647085,1658.251165279884
2093,2723.84453194942,15089.994442325959,4589.393932864734,5866.513398104221,1630.466108805545
2094,2742.0870460899346,15230.308052705264,4631.288876493198,5878.271363749665,1602.8183965979028
2095,2760.1348060067235,15369.430417242977,4672.942381823058,5889.614190425404,1575.3277816213795
2096,2777.9772432822733,15507.278817280314,4714.331357229255,5900.535074472557,1548.0138705494505
2097,2795.6035253340924,15643.768578621337,4755.431728358481,5911.027238117869,1520.8960478647878
2098,2813.002535007301,15778.812987489817,4796.218386839396,5921.083880961293,1493.9934005076104
2099,2830.1628502404456,15912.323208014717,4836.665141435645,5930.698129575111,1467.3246442210059
2100,2847.0727252433057,16044.208209495911,4876.744674522972,5939.862987882728,1440.9080526902596
