time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,1706.2100959373313,4659.920332114514,2748.291796720031,5937.027768683419,2352.72855114437
2018,1737.859434385537,4759.943889147683,2800.117465482321,6042.794160427535,2366.440124521892
2019,1769.1356663819356,4857.591885571708,2852.343195345067,6147.2981217346305,2379.3926082083453
2020,1799.9985690305216,4952.597809036653,2905.1379454198586,6250.5166602137015,2391.5242504221874
2021,1830.2837873275562,5044.627265818842,2958.6751661609346,6352.387669790024,2402.7588992917426
2022,1859.9145571068925,5133.264532998239,3013.120906583768,6452.791003665016,2413.0032350459815
2023,1888.8655628127126,5218.046986416951,3068.645657301365,6551.580696141898,2422.154064397741
2024,1916.8871425404006,5298.590773708286,3125.424928931319,6648.598231094414,2430.1026370571794
2025,1943.9887143408487,5374.198420177538,3183.6336986897963,6743.678593472196,2436.7383885161926
2026,1970.1612935920753,5444.584308348444,3243.435617433751,6836.651679834221,2441.9527079894974
2027,1995.3694243048662,5509.083056798059,3305.1171622754473,6927.334689299968,2445.64212156996
2028,2020.0886337171225,5567.337073456352,3368.5720743566685,7015.562830082121,2447.717870513008
2029,2043.5414891780908,5619.072189787464,3434.546855834511,7101.204039385102,2448.1122935473686
2030,2065.46291103566,5664.094546474306,3501.8283490494628,7184.165442918173,2446.7830280310723
2031,2086.6662035227887,5702.3307732092635,3571.632105346474,7264.387323685958,2443.714324092308
2032,2106.8905512441893,5733.813072068779,3642.7379049713213,7341.815240387571,2438.9146435905677
2033,2126.3497888618795,5758.699061044085,3715.587505017713,7416.428486294842,2432.419430652175
2034,2144.284876689543,5777.25933018623,3789.9770097061746,7488.244359446652,2424.288626178221
2035,2160.4999314871025,5789.849659372516,3865.7031664132296,7557.31031404361,2414.601541475299
2036,2176.5957394842117,5796.890850553379,3942.5261280901927,7623.70501736404,2403.4518579405444
2037,2191.2116587094106,5798.851522861725,4021.140464168686,7687.557772637009,2390.943617838597
2038,2205.270743388676,5796.2096957352815,4099.64768211648,7749.009097321354,2377.183131222449
2039,2218.173180732586,5789.4307528432755,4178.699915967626,7808.194920259666,2362.2742613719975
2040,2230.3360269445943,5778.95443026587,4259.236943417611,7865.242493349261,2346.3155847110165
2041,2241.441577044568,5765.185568982321,4339.304282676237,7920.265118740948,2329.3983953414327
2042,2252.0965849862223,5748.487874800727,4419.6387883864245,7973.353726272117,2311.6054072770216
2043,2262.658559603145,5729.18510819049,4500.730377019512,8024.585759041076,2293.0109209225106
2044,2272.176131757498,5707.562260293374,4580.7389803374135,8074.028067802036,2273.681048633333
2045,2282.0432677206704,5683.8675422936585,4660.085334767762,8121.737449469366,2253.674144865608
2046,2291.92543225343,5658.322495469859,4739.078569250796,8167.796073014456,2233.042671738862
2047,2298.8944360559312,5631.144892963937,4819.165814460271,8212.415361062316,2211.8371856720814
2048,2306.946969980679,5602.529144539918,4897.682922485934,8255.83243102858,2190.103072918676
2049,2314.277585514798,5572.643891875406,4975.975143214312,8298.277206085831,2167.880356756088
2050,2322.2522891333892,5541.63642649343,5055.427117424044,8339.974024822614,2145.2046576109133
2051,2328.707297810792,5509.633876149409,5134.707623280675,8381.128480890777,2122.1075925435357
2052,2334.4723160946255,5476.7389372724565,5213.588208489358,8421.88524904408,2098.616270153911
2053,2341.4464517337165,5443.040696445783,5293.91201387477,8462.372742401798,2074.755225163459
2054,2349.0492098370923,5408.61928597211,5373.662743327606,8502.718266494147,2050.5472961133264
2055,2355.771139292117,5373.547560919047,5455.587412211512,8543.04851811865,2026.01399747813
2056,2361.6773346387995,5337.971846571632,5537.7848121349725,8583.471723661572,2001.1753382702575
2057,2368.5584763322972,5301.984012461284,5619.696459887474,8624.022778644123,1976.0486209346504
2058,2373.8577844532533,5265.498473302312,5702.513361347728,8664.717553966742,1950.6501571846804
2059,2381.48710328522,5228.377145093798,5786.081367047655,8705.571168329125,1924.9959262527148
2060,2388.142480683323,5190.798250375412,5870.1482525902475,8746.598016932714,1899.101711477605
2061,2394.109203834876,5152.8218897266015,5955.119247739835,8787.795389199584,1872.9827869332535
2062,2401.7974485383143,5114.465824236403,6040.608004351087,8829.094778178154,1846.6527493568012
