time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,409.24433334335697,212.35329530938722,624.6713632782767,1425.2951677583583,4.362219604822272e-14
2018,416.91130406025775,217.07974718191483,636.3740951154421,1451.9881406542472,4.362219604822272e-14
2019,424.4888338986132,221.6970932633693,647.9511271002368,1478.389989975404,4.362219604822272e-14
2020,431.97498227202675,226.1929114877983,659.4015315739182,1504.4976257997632,9.922408161860527e-14
2021,439.36497229126394,230.55161158254788,670.7203442172299,1530.2985174594128,4.362219604822272e-14
2022,446.6498453475118,234.753800746505,681.8964940830176,1555.7659312954102,4.362219604822272e-14
2023,453.8187851573554,238.77789597027638,692.9163262663483,1580.8669188112985,5.023351022372032e-14
2024,460.8600885886324,242.60106233674458,703.765038258635,1605.56554547841,4.362219604822272e-14
2025,467.7616249324087,246.2000124064469,714.4273073568878,1629.8242814437356,2.4910029332119143e-14
2026,474.5109678519909,249.55179904892614,724.8873840048971,1653.6041920315117,5.023351022372032e-14
2027,481.0948857827724,252.63446207725326,735.128159298013,1676.8628249316293,5.023351022372032e-14
2028,487.50156967010645,255.4291186265027,745.1344361876849,1699.561701437893,5.023351022372032e-14
2029,493.72170900718413,257.92134101840526,754.8944370710053,1721.6698248904352,2.4910029332119143e-14
2030,499.7489659546264,260.10205523595477,764.4004013926033,1743.1651556387403,6.897274802539003e-14
2031,505.5795440072776,261.96780050912804,773.6478044697069,1764.0329921540442,2.4065374654024547e-14
2032,511.2101845086837,263.5201513169174,782.6321413464162,1784.2588783470653,9.922408161860527e-14
2033,516.6401665660441,264.7663737056842,791.3520248134106,1803.8358283404473,6.431741917122381e-14
2034,521.8715688587969,265.71891449581614,799.8096539723756,1822.765544447694,5.023351022372032e-14
2035,526.9086626226422,266.39430410919607,808.0099734475261,1841.056626030256,4.362219604822272e-14
2036,531.7579404918913,266.8121094020043,815.9608769777535,1858.725073373474,6.897274802539003e-14
2037,536.4294606162674,266.99414317484445,823.6755419635372,1875.7994908575579,4.9820058664238286e-14
2038,540.9340098541835,266.96266108437015,831.1681054652263,1892.3112755006953,6.867221174598554e-14
2039,545.2819592439624,266.7393302926024,838.4519780002921,1908.2907517435544,4.9820058664238286e-14
2040,549.4829628100515,266.3446227407512,845.5394703087596,1923.7662462812852,5.023351022372032e-14
2041,553.5455792959316,265.79738277675074,852.4412656801142,1938.762817887441,5.457513989326801e-14
2042,557.4766741426768,265.1145330629756,859.1655047987728,1953.3001412568428,5.023351022372032e-14
2043,561.2820592924767,264.311133719698,865.718845401621,1967.3947950049428,4.9820058664238286e-14
2044,564.9667089116716,263.4004381131345,872.1068259199972,1981.060999054351,6.897274802539003e-14
2045,568.5348081934295,262.39398537822467,878.3339457031483,1994.310733907835,6.431741917122381e-14
2046,571.9922968228241,261.3020865268561,884.4077997793654,2007.162807197903,5.023351022372032e-14
2047,575.3543177497112,260.13493699358713,890.3512410080259,2019.669508597418,5.023351022372032e-14
2048,578.6378393390637,258.9016581925345,896.1903924196706,2031.8900049558886,4.362219604822272e-14
2049,581.8593130841139,257.6101704442424,901.950800815658,2043.8818519630154,4.362219604822272e-14
2050,585.0347940393541,256.26739894125706,907.657598225806,2055.701365702863,4.362219604822272e-14
2051,588.1790009550548,254.87932265032967,913.3339296186775,2067.4002040950368,3.279557754179968e-14
2052,591.3022904527195,253.45075611911395,918.9959540794233,2079.0144941117887,5.023351022372032e-14
2053,594.4138535159432,251.9858730470681,924.6580418429584,2090.5762801648584,2.4065374654024547e-14
2054,597.5228027540337,250.48842964923057,930.3345361614007,2102.1173988026444,4.362219604822272e-14
2055,600.638209412752,248.96184277090956,936.0397988750558,2113.669590418703,3.310941797048735e-14
2056,603.7678199055232,247.4091027953721,941.7860852594652,2125.259892867576,3.4486374012695015e-14
2057,606.914106580687,245.83237394296904,947.5770229511869,2136.8965231171182,3.310941797048735e-14
2058,610.0781631146626,244.2334960458987,953.4139935751912,2148.5828286506676,3.4784962909103705e-14
2059,613.2610171857095,242.61416863279786,959.298283643908,2160.3219779594137,7.060283381466019e-14
2060,616.4636326610621,240.97597690773898,965.2310827141459,2172.1169616532657,3.310941797048735e-14
2061,619.6857288648011,239.32027948282712,971.2115299088351,2183.966374386851,2.6518751281008203e-14
2062,622.9222668814278,237.64783061086575,977.2309023934687,2195.8518890368027,4.6602397627639574e-14
2063,626.1670237438518,235.95920271415488,983.2784979265987,2207.7510309622094,2.511675511186016e-14
2064,629.413778488346,234.25493164847134,989.3435896700211,2219.6414084390776,2.4279293302332428e-14
2065,632.6563110204199,232.5355251228915,995.4154240284615,2231.5007038872873,2.511675511186016e-14
2066,635.8900985158268,230.80166000712305,1001.4860274413919,2243.312709341184,2.7287569946634006e-14
2067,639.1174126566405,229.0547582674381,1007.5586500133404,2255.0854512084875,2.6518751281008203e-14
2068,642.3422046488652,227.29641504503715,1013.6393189171315,2266.8329436961167,2.6518751281008203e-14
2069,645.5683902458666,225.5282095674583,1019.7340016854755,2278.5690786514374,5.105036882896687e-14
2070,648.7998349824313,223.7517057504005,1025.8485804041627,2290.30757408064,2.4910029332119143e-14
2071,652.0394614886015,221.9683533542025,1031.987370791927,2302.0588031177926,2.4910029332119143e-14
2072,655.2865477363699,220.179186142652,1038.148638241243,2313.820203182941,2.6518751281008203e-14
2073,658.5392432913053,218.38510218236397,1044.328762201721,2325.5852342725157,2.7287569946634006e-14
2074,661.7954042698951,216.58695453929127,1050.5236201464654,2337.3463490846393,1.0665837343748027e-14
2075,665.0525539857451,214.78554320237572,1056.7285234339322,2349.094854033087,2.511675511186016e-14
2076,668.3070565466642,212.98151829496976,1062.9368464987633,2360.8179780318856,1.2455014666059572e-14
2077,671.5518095408711,211.17511742282514,1069.1361941195637,2372.4906938792374,2.4910029332119143e-14
2078,674.7786813634987,209.36643130264136,1075.3124465375183,2384.0843762562026,2.6518751281008203e-14
2079,677.9793044465365,207.55548487183776,1081.4510799288707,2395.5696154680254,3.433610587299277e-14
2080,681.1450732277815,205.74222889556063,1087.53716742712,2406.9162077877986,2.7287569946634006e-14
2081,684.2701501184464,203.92686589834358,1093.5603824042973,2418.103802522523,1.2455014666059572e-14
2082,687.3604939374943,202.11084579502597,1099.5300260952683,2429.153864396389,1.2455014666059572e-14
2083,690.4248250597793,200.29584887420717,1105.4600242583513,2440.097626731956,1.639778877089984e-14
2084,693.471594683582,198.4834378752884,1111.3638925507476,2450.965350963355,2.181109802411136e-14
2085,696.5089614663601,196.6750448247308,1117.2547006217294,2461.7862460472015,2.181109802411136e-14
2086,699.5423620015395,194.87168991548918,1123.1410310424164,2472.5798726527128,3.2158709585611907e-14
2087,702.567213682941,193.07315889936305,1129.0148294035064,2483.330335819038,4.9612040809302634e-14
2088,705.5760073968135,191.2787824520337,1134.8632051143577,2494.011408414459,2.511675511186016e-14
