time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,1033.5063914339203,4306.727722600749,1573.490886243772,3099.6969851084664,2345.991984464262
2018,1061.7109364315734,4446.675858356772,1610.1997494013922,3176.4466495362276,2370.7535588224723
2019,1088.751913000054,4581.153567971445,1645.3165349091482,3249.9147277662573,2393.9978005518856
2020,1114.633423711165,4710.186541320551,1678.8461112575349,3320.1090929185902,2415.7243448750546
2021,1139.3652498948459,4833.828558472417,1710.8009384371724,3387.0528533083693,2435.9389015231254
2022,1162.9930551810205,4952.307717827834,1741.2414582371116,3450.8677186853347,2454.6865060856944
2023,1185.574104051245,5065.90935352694,1770.2436041040883,3511.7066554274984,2472.02455577056
2024,1207.1683006123928,5174.9330005808915,1797.8868032132468,3569.728912771061,2488.0127715649955
2025,1227.8380028103495,5279.6918475035745,1824.2537131318759,3625.0992699233184,2502.712817965697
2026,1247.6442151464742,5380.494718751923,1849.4251127654716,3677.9772445279286,2516.1839036146434
2027,1266.6355360928521,5477.592933073766,1873.4651067390964,3728.486334194964,2528.4704308287783
2028,1284.859071139798,5571.233657533684,1896.4356957904936,3776.7437858859084,2539.6137435512
2029,1302.3640407603762,5661.678071228353,1918.4015704296623,3822.8700822580336,2549.655742801725
2030,1319.2017609962247,5749.202102873691,1939.4300476592884,3866.988324075927,2558.6384388213332
2031,1335.4242318255483,5834.090543644962,1959.589140577443,3909.219691737946,2566.6019103938065
2032,1351.079448993704,5916.6152517410665,1978.9412484486722,3949.669893629998,2573.578680465112
2033,1366.2149895854327,5997.053806065999,1997.547892560918,3988.438186244189,2579.5969947190197
2034,1380.8794940754221,6075.698163010993,2015.4716305140853,4025.6204616149475,2584.681687362606
2035,1395.1228535792425,6152.857184484195,2032.7762325462736,4061.308666280055,2588.853548706179
2036,1408.9916190423498,6228.835607889929,2049.520487846623,4095.5773199826835,2592.123653136759
2037,1422.5147642455804,6303.864336722342,2065.7392020838943,4128.4447482888445,2594.4780926457447
2038,1435.7181031359282,6378.172076690346,2081.462392430886,4159.911634980785,2595.892894441291
2039,1448.6291508837228,6452.010070467414,2096.7217326611667,4189.973627436552,2596.338748517891
2040,1461.2771271493718,6525.652279484383,2111.5505495065204,4218.62123386886,2595.78092313618
2041,1473.6789850968112,6599.322768956758,2125.9653673254206,4245.804629721042,2594.166459012746
2042,1485.7972834286156,6672.97140500726,2139.9105032118605,4271.331149615411,2591.3883227151755
2043,1497.580899830873,6746.470685155986,2153.3125223494367,4294.977855729347,2587.330361105983
2044,1508.977933516818,6819.673181886561,2166.0977207755805,4316.530553101226,2581.88409880002
2045,1519.934534808404,6892.3957932662215,2178.191020805193,4335.78738620421,2574.9526638346474
